"X1","SampleSite","OTU","baseMean","l2FC","SE","pvalue","Kingdom","Phylum","Class","Order","Family","Genus","Species","padj"
"1","Point","AJ867894.1.1476",2.14613965574941,-2.33963673966651,0.672327521216428,0.000501589278103791,"Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","A1-B1",NA,NA,0.00396255529701995
"1","Point","EF018205.1.1345",0.591143230967229,-1.20635576813499,1.35404401737452,0.372967782027725,"Bacteria","Acidobacteria","Solibacteres","Solibacterales",NA,NA,NA,0.597059775701779
"1","Point","JN391674.1.1430",5.89355587571418,0.930450119261717,0.370537037486117,0.0120360599283112,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter",NA,0.0533684977176755
"1","Point","JQ426619.1.1507",0.567594008388059,0.637515234361781,0.997872901502137,0.522904784434041,"Bacteria","Acidobacteria","Acidobacteria-6","iii1-15","mb2424",NA,NA,0.718842424076959
"1","Point","FQ658895.1.1365",0.525918127600399,0.994024284127492,1.0390550173888,0.338737965141645,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfobacterales","Desulfobulbaceae",NA,NA,0.565358434778662
"1","Point","GQ263911.1.1472",2.72818151177072,-1.52385179528943,0.522553060304345,0.00354361194692806,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA,0.0202090670622113
"1","Point","JF703528.1.1427",19.9681095205317,-0.0504583800483466,0.375537834189451,0.89311555899161,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae",NA,NA,0.947698175424274
"1","Point","AY945920.1.1498",2.93882187767357,0.766692546044283,0.484544112963025,0.11358185605173,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,0.282387586535901
"1","Point","EF523437.1.1415",15.2459552744587,-0.96506230430559,0.333299734577738,0.00378580641155411,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Saprospiraceae",NA,NA,0.0212867406770658
"1","Point","DQ354716.1.1488",0.787686044268499,0.296355792132067,0.940521798782537,0.752687848908524,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Perlucidibaca",NA,0.874446177408432
"1","Point","FQ659870.1.1373",0.593629302996471,-0.148094188715044,1.27473680327201,0.90751282970619,"Bacteria","Acidobacteria","Acidobacteria-6","iii1-15",NA,NA,NA,0.952419857247599
"1","Point","AY212581.1.1490",581.66449938084,-0.855429192462158,0.227494151060151,0.000169760606171591,"Bacteria","Acidobacteria","Solibacteres","Solibacterales",NA,NA,NA,0.00153562075048348
"1","Point","New.ReferenceOTU911",863.924762568989,-1.23443243991257,0.167359365671193,1.63190962853794e-13,"Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales",NA,NA,NA,7.73525163926985e-12
"1","Point","New.ReferenceOTU912",9.86473523479819,2.07534628251671,0.484990445543162,1.87609413137819e-05,NA,NA,NA,NA,NA,NA,NA,0.000220662188157137
"1","Point","New.ReferenceOTU913",73.0543512927873,-0.40923567700412,0.449704055919993,0.362816662503544,"Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae",NA,NA,0.586945727053515
"1","Point","New.ReferenceOTU600",42.1613468255323,-2.52143422159596,0.345302710197934,2.83314831296267e-13,"Bacteria","Proteobacteria",NA,NA,NA,NA,NA,1.30379834984884e-11
"1","Point","New.ReferenceOTU601",8.04977627932989,-2.51488835028806,0.946861083800531,0.00790673463664011,"Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales",NA,NA,NA,0.038877512632442
"1","Point","New.ReferenceOTU602",91.5793101562484,-1.60173580278378,0.266556201776596,1.86672912113393e-09,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales",NA,NA,NA,4.53758770983324e-08
"1","Point","New.ReferenceOTU605",68.7902307709249,3.11815661243896,0.467211404933548,2.48968312805122e-11,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA,8.3517837338077e-10
"1","Point","New.ReferenceOTU918",87.7070226060893,0.893337764144385,0.353741590746099,0.0115567827803572,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]",NA,NA,NA,0.0519102169395309
"1","Point","New.ReferenceOTU606",0.622969330040318,-0.189490162526583,0.909008906219892,0.834871387171037,"Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","Fluviicola",NA,0.917735304491089
"1","Point","New.ReferenceOTU607",5.54482730553115,0.0812817710751556,0.48429039097005,0.866711635850233,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae",NA,NA,0.931990279929697
"1","Point","New.ReferenceOTU8",86.2853786438092,-1.37424155080443,0.847872593553343,0.105058096541326,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Chitinophagaceae",NA,NA,0.268595133552258
"1","Point","New.ReferenceOTU9",2.41550018220586,-0.349186230552018,0.550839348641546,0.526135223703403,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans",NA,0.721823904115773
"1","Point","New.ReferenceOTU28",1.06107267947615,-1.48220258919293,0.691044637807619,0.0319630483873388,"Bacteria","Bacteroidetes","[Saprospirae]","[Saprospirales]","Saprospiraceae",NA,NA,0.113401833350289
"1","Point","New.ReferenceOTU916",17.735958253131,0.783772953399564,0.427114591898424,0.0664995573369408,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales",NA,NA,NA,0.192669866611919
